customer_id,customer_name,customer_address,customer_city,customer_state,customer_postal,customer_number,customer_balance
1,"Sergio Gonzalez","4386 Philli Lane",Peoria,Arizona,85381,404-858-3484,0.00
2,"Frodo Baggins","921 Reeves St",Malakoff,Texas,75148,430-983-5224,4.20
3,"Samwise Gamgee","3247 Stewart St","Santa Fe","New Mexico",87505,317-840-6419,0.00
4,"Peregrin Took","1950 Fleming Way",Avondale,Arizona,85323,434-546-4859,11.37
5,"Meriadoc Brandybuck","1810 Stroop Hill Rd",Buckeye,Arizona,85340,404-263-0624,12.20
6,"Gandalf Grey","520 Elkwiew Dr",Albuquerque,"New Mexico",87101,772-634-3237,3.31
7,"Aragorn Strider","246 Court St","Long Beach",California,90805,314-330-8641,0.00
8,"Legolas Bloom","2794 Parrish Ave",Phoenix,Arizona,85005,410-353-8387,6.78
9,"Gimli Lockbearer","2916 Blackwell St",Peoria,Arizona,85381,907-317-2608,8.93
10,"Boromir Bean","1747 Melody Ln",Hollywood,California,90028,757-635-5614,10.71
